Model,Period_s,RMSE,R2,Sigma,Bias
BNN-Improved,0.42,0.93856156,0.8449496626853943,0.93856144,0.00057384506
BNN-Improved,0.44,0.9264607,0.8481563329696655,0.92618656,-0.022553781
BNN-Improved,0.45,0.9209623,0.8495564460754395,0.9177047,-0.077394105
BNN-Improved,0.46,0.9189911,0.8498905301094055,0.90883464,0.13625026
BNN-Improved,0.48,0.9075525,0.8530230522155762,0.90685815,-0.035510015
BNN-Improved,0.5,0.8989525,0.8548825979232788,0.8940537,0.09371696
BNN-Improved,0.55,0.892713,0.855084240436554,0.88618493,0.10776313
BNN-Improved,0.6,0.8750374,0.8590551614761353,0.87462753,0.026754936
BNN-Improved,0.65,0.8759398,0.8573400974273682,0.8695731,0.1054215
BNN-Improved,0.667,0.88232887,0.8548605442047119,0.8645922,-0.1760266
BNN-Improved,0.7,0.8614494,0.8611031174659729,0.86116904,-0.021984002
BNN-Improved,0.75,0.86070913,0.8602902293205261,0.8599795,0.035439312
BNN-Improved,0.8,0.86072177,0.8596972823143005,0.8563373,0.08676539
BNN-Improved,0.85,0.85072905,0.8620384335517883,0.8507079,0.0061003254
BNN-Improved,0.9,0.84239143,0.8642216920852661,0.842267,-0.014483733
BNN-Improved,0.95,0.841887,0.863919734954834,0.8407105,-0.04448975
BNN-Improved,1.0,0.84256256,0.8630119562149048,0.83519596,-0.11116951
BNN-Improved,1.1,0.82748836,0.8670650124549866,0.8267332,-0.035340242
BNN-Improved,1.2,0.8380485,0.8623291254043579,0.82549536,0.1445057
BNN-Improved,1.3,0.8364426,0.8621021509170532,0.82549363,-0.13489185
BNN-Improved,1.4,0.89138514,0.843085765838623,0.82824117,-0.3295212
BNN-Improved,1.5,0.8527271,0.8557674884796143,0.83607376,0.16770084
BNN-Improved,1.6,0.84859633,0.8568112850189209,0.8279163,-0.18619876
BNN-Improved,1.7,0.82777864,0.8631072044372559,0.82638127,-0.048081826
BNN-Improved,1.8,0.8374934,0.8598521947860718,0.8274647,0.12922065
BNN-Improved,1.9,0.84123415,0.8590019345283508,0.827819,-0.14963083
BNN-Improved,2.0,0.83931506,0.8598787188529968,0.8172577,0.19115067
BNN-Improved,2.2,0.8179223,0.8667817115783691,0.8149787,-0.06932772
BNN-Improved,2.4,0.8052347,0.871624231338501,0.7970663,0.114404626
BNN-Improved,2.5,0.79752207,0.8742249011993408,0.7960281,0.048785847
BNN-Improved,2.6,0.79914606,0.874041736125946,0.7918834,0.10749391
BNN-Improved,2.8,0.78647494,0.8784912824630737,0.7831852,0.07186112
BNN-Improved,3.0,0.77916825,0.8808996677398682,0.7787927,-0.024205908
BNN-Improved,3.2,0.7866379,0.8792704343795776,0.77618366,0.12782472
BNN-Improved,3.4,0.76799893,0.8857631683349609,0.7669282,-0.040543575
BNN-Improved,3.5,0.7802701,0.8824673295021057,0.77090305,0.12053986
BNN-Improved,3.6,0.78072715,0.8824228644371033,0.7680105,-0.14033757
